TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,555624187,555624187,1,Indawgyi Wildlife Sanctuary,Indawgyi Wildlife Sanctuary,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i) (ii) (v) (vi),0,0,0,478.8438,480.450123965563,Not Applicable,0,Designated,2016,Not Reported,Not Reported,Not Reported,https://rsis.ramsar.org/ris/2256,State Verified,1856,Not Reported,MMR,MMR
Polygon,9312,9312,1,Wunbaik,Wunbaik,Reserved Forest,Reserved Forest,National,Not Reported,Not Applicable,2,228.36,228.508676540447,229.19,228.508676549996,Not Reported,0,Designated,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,1532,MM-16,MMR,MMR
Polygon,11816,11816,1,Dipayon,Dipayon,Wildlife Sanctuary,Wildlife Sanctuary,National,Not Reported,Not Applicable,0,0,0,13.6,20.6673359163304,Not Applicable,0,Proposed,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,194,MM-07,MMR,MMR
Polygon,8007,8007,1,Maymyo,Maymyo,Game Sanctuary,Game Sanctuary,National,Not Reported,Not Applicable,0,0,0,126.9,114.150683317284,Not Applicable,0,Designated,1918,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,194,MM-04,MMR,MMR
Polygon,8031,8031,1,Pegu Yomas,Pegu Yomas,National Park,National Park,National,Not Reported,Not Applicable,0,0,0,1463.35,1826.8276344177,Not Applicable,0,Proposed,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,194,MM-02,MMR,MMR
Polygon,8034,8034,1,Kadonlay Kyun,Kadonlay Kyun,Wildlife Sanctuary,Wildlife Sanctuary,National,Not Reported,Not Applicable,1,0.36,0.240221,2.59,0.883839599870241,Not Reported,0,Proposed,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,194,MM-07,MMR,MMR
Polygon,8036,8036,1,Pakchan,Pakchan,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,1,158.64,151.559618,1451.96,945.197401345081,Not Reported,0,Proposed,1983,Joint governance,Not Reported,Joint responsibilities,Not Reported,Not Reported,194,MM-05,MMR,MMR
Polygon,11815,11815,1,Letkokkon,Letkokkon,Wildlife Sanctuary,Wildlife Sanctuary,National,Not Reported,Not Applicable,0,1.08,0,3.88,4.11112700823156,Not Applicable,0,Proposed,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,194,MM-07,MMR,MMR
Polygon,146698,146698,1,Nam Lang,Nam Lang,Not Reported,Not Reported,National,Not Reported,Not Applicable,0,0,0,0,2091.74933959064,Not Applicable,0,Designated,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,194,MM-11,MMR,MMR
Polygon,146701,146701,1,Bago Yomas,Bago Yomas,Not Reported,Not Reported,National,Not Reported,Not Applicable,0,0,0,0,2912.50041886657,Not Applicable,0,Designated,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,194,MM-02,MMR,MMR
Polygon,146699,146699,1,Tanlwe-ma-e-chaung,Tanlwe-ma-e-chaung,Not Reported,Not Reported,National,Not Reported,Not Applicable,0,0,3.997046,0,2978.04635559346,Not Applicable,0,Designated,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,194,MM-16,MMR,MMR
Polygon,146700,146700,1,Taungup Pass/Thandwe-chaung,Taungup Pass/Thandwe-chaung,Not Reported,Not Reported,National,Not Reported,Not Applicable,0,0,16.748225,0,4631.3712122498,Not Applicable,0,Designated,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,194,MM-16,MMR,MMR
Polygon,312907,312907,1,Maharmyaing,Maharmyaing,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,1180,1204.56485601068,Not Applicable,0,Proposed,2002,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-01,MMR,MMR
Polygon,312908,312908,1,Lenya,Lenya,National Park,National Park,National,II,Not Applicable,0,0,0,1761,3812.83338336103,Not Applicable,0,Proposed,2002,Federal or national ministry or agency,Not Reported,Kawthoung Forest Department,In proposal phases,Not Reported,1687,MM-05,MMR,MMR
Polygon,11752,11752,1,Alaungdaw,Alaungdaw Kathapa,National Park and ASEAN Heritage Park,National Park and ASEAN Heritage Park,National,II,Not Applicable,0,0,0,1598,1629.70924769042,Not Applicable,0,Designated,1989,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plan,Not Reported,1687,MM-01,MMR,MMR
Polygon,555547901,555547901,1,Bawditataung,Bawditataung,Nature Reserve,Nature Reserve,National,VI,Not Applicable,0,0,0,73,76.6080365449771,Not Applicable,0,Designated,2008,Federal or national ministry or agency,Not Reported,Forest Department and Tropical Regional Greening Department,Annual management plan,Not Reported,1687,MM-01,MMR,MMR
Polygon,312910,312910,1,Bumhpabum,Bumhpabum,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,1854,2951.34652053949,Not Applicable,0,Proposed,2004,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-11,MMR,MMR
Polygon,312903,312903,1,Minsontaung,Minsontaung,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,23,16.7973563910853,Not Applicable,0,Designated,2001,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division with support of university and international agencies,5-year management plan,Not Reported,1687,MM-04,MMR,MMR
Polygon,8006,8006,1,Chatthin,Chatthin,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,269,284.627148050942,Not Applicable,0,Designated,1941,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plan,Not Reported,1687,MM-01,MMR,MMR
Polygon,8022,8022,1,Hlawga,Hlawga,Wildlife Park,Wildlife Park,National,Not Reported,Not Applicable,0,0,0,6,5.6566139735826,Not Applicable,0,Designated,1982,Joint governance,Not Reported,Nature and Wildlife Conservation Division and a private company,Annual management plan,Not Reported,1687,MM-06,MMR,MMR
Polygon,312906,312906,1,Hponkanrazi,Hponkanrazi,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,2704,2699.83198145165,Not Applicable,0,Designated,2003,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-11,MMR,MMR
Polygon,312912,312912,1,Htamanthi,Htamanthi,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,2151,2547.50289649254,Not Applicable,0,Designated,1974,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Not Reported,Not Reported,1687,MM-01,MMR,MMR
Polygon,312901,312901,1,Indawgyi Lake,Indawgyi Lake,Wildlife Sanctuary and ASEAN Heritage Park,Wildlife Sanctuary and ASEAN Heritage Park,National,IV,Not Applicable,0,0,0,815,739.220776512419,Not Applicable,0,Designated,2004,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plan,Not Reported,1687,MM-11,MMR,MMR
Polygon,11813,11813,1,Inlay Lake ,Inlay Lake,Bird Sanctuary and ASEAN Heritage Park,Bird Sanctuary and ASEAN Heritage Park,National,IV,Not Applicable,0,0,0,642,556.471154578409,Not Applicable,0,Designated,1985,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual operation plan,Not Reported,1687,MM-17,MMR,MMR
Polygon,8013,8013,1,Thamihla Kyun (Diamond Island),Thamihla Kyun (Diamond Island),Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,1,0,0.050837,0.88,0.572718187661148,Not Reported,0,Designated,1970,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-07,MMR,MMR
Polygon,8010,8010,1,Kahilu,Kahilu,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,161,127.835491973158,Not Applicable,0,Designated,1928,Federal or national ministry or agency,Not Reported,Forest Department,Not currently managed because of security issues,Not Reported,1687,MM-13,MMR,MMR
Polygon,1239,1239,1,Kelatha,Kelatha,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,24,22.6235609560707,Not Applicable,0,Designated,1942,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-15,MMR,MMR
Polygon,71350,71350,1,Khakaborazi,Khakaborazi,National Park and ASEAN Heritage Park,National Park and ASEAN Heritage Park,National,II,Not Applicable,0,0,0,3812,4399.73079100796,Not Applicable,0,Designated,1996,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Not Reported,Not Reported,1687,MM-11,MMR,MMR
Polygon,312898,312898,1,Kyaikhtiyoe,Kyaikhtiyoe,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,156,137.954051615599,Not Applicable,0,Designated,2001,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual operation plan,Not Reported,1687,MM-15,MMR,MMR
Polygon,1235,1235,1,Kyauk-Pan-Taung,Kyauk-Pan-Taung,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,133,128.560382295208,Not Applicable,0,Proposed,2001,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-14,MMR,MMR
Polygon,8033,8033,1,Meinmahla Kyun,Mainmahla Kyun,Wildlife Sanctuary and ASEAN Heritage Park,Wildlife Sanctuary and ASEAN Heritage Park,National,IV,Not Applicable,0,0,0.825438,137,136.675442442086,Not Applicable,0,Designated,1993,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plan,Not Reported,1687,MM-07,MMR,MMR
Polygon,8035,8035,1,Lampi Island,Lampi Island,National Park and ASEAN Heritage Park,National Park and ASEAN Heritage Park,National,II,Not Applicable,1,0,16.16291,205,229.881427568229,Not Reported,0,Designated,1996,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plant in development,Not Reported,1687,MM-05,MMR,MMR
Polygon,312899,312899,1,Lawkananda,Lawkananda,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,0.47,0.435230785326165,Not Applicable,0,Designated,1995,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,None,Not Reported,1687,MM-04,MMR,MMR
Polygon,312896,312896,1,Loimwe,Loimwe,Protected Area,Protected Area,National,Not Reported,Not Applicable,0,0,0,43,43.2880923951594,Not Applicable,0,Designated,1996,Federal or national ministry or agency,Not Reported,Forest Department of Kyaing Tong Township,None,Not Reported,1687,MM-17,MMR,MMR
Polygon,1238,1238,1,Minwuntaung,Minwuntaung,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,206,125.615535041349,Not Applicable,0,Designated,1972,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-04,MMR,MMR
Polygon,8012,8012,1,Moscos Island,Moscos Island,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,1,0,2.806247,49,36.4239245931861,Not Reported,0,Designated,1927,Federal or national ministry or agency,Not Reported,Forest Department,Not currently managed,Not Reported,1687,MM-05,MMR,MMR
Polygon,8024,8024,1,Moyingyi Wetland,Moyingyi Wetland,Bird Sanctuary,Bird Sanctuary,National,IV,Not Applicable,0,0,0,104,103.800638956963,Not Applicable,0,Designated,1988,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plan,Not Reported,1687,MM-02,MMR,MMR
Polygon,8011,8011,1,Mulayit,Mulayit,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,139,215.0675385307,Not Applicable,0,Designated,1936,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-13,MMR,MMR
Polygon,8027,8027,1,Natma Taung,Natma Taung,National Park,National Park,National,II,Not Applicable,0,0,0,723,1098.03540158043,Not Applicable,0,Proposed,1997,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plan,Not Reported,1687,MM-14,MMR,MMR
Polygon,8008,8008,1,Wenthtikan,Wenthtikan,Bird Sanctuary,Bird Sanctuary,National,IV,Not Applicable,0,0,0,4.4,4.43349253095899,Not Applicable,0,Designated,1939,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-03,MMR,MMR
Polygon,312904,312904,1,Hukaung Valley (Extension),Hukaung Valley (Extension),Tiger Reserve,Tiger Reserve,National,IV,Not Applicable,0,0,0,15431,17961.4305009797,Not Applicable,0,Designated,2004,Joint governance,Not Reported,Nature and Wildlife Conservation Division with input from the Wildlife Conservation Society,Annual Management Plan,Not Reported,1687,MM-11,MMR,MMR
Polygon,312902,312902,1,Panlaung-Pyadalin Cave,Panlaung-Pyadalin Cave,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,334,350.580487326204,Not Applicable,0,Designated,2002,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plan,Not Reported,1687,MM-17,MMR,MMR
Polygon,312897,312897,1,Par Sar,Par Sar,Protected Area,Protected Area,National,Not Reported,Not Applicable,0,0,0,77,117.101083685516,Not Applicable,0,Designated,1996,Federal or national ministry or agency,Not Reported,Forest Depatment of Keng Tung Township,None,Not Reported,1687,MM-17,MMR,MMR
Polygon,8005,8005,1,Pidaung,Pidaung,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,122,150.132342981957,Not Applicable,0,Designated,1918,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plan,Not Reported,1687,MM-11,MMR,MMR
Polygon,8029,8029,1,Popa Mountain Park,Popa Mountain Park,Mountain Park,Mountain Park,National,IV,Not Applicable,0,0,0,129,98.2972302208677,Not Applicable,0,Designated,1989,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,4-year management plan,Not Reported,1687,MM-04,MMR,MMR
Polygon,312911,312911,1,Pyin-O-Lwin,Pyin-O-Lwin,Bird Sanctuary,Bird Sanctuary,National,IV,Not Applicable,0,0,0,127,77.6899486484417,Not Applicable,0,Designated,1918,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-04,MMR,MMR
Polygon,312900,312900,1,Rakhine Yoma Elephant Range,Rakhine Yoma Elephant Range,Elephant Range,Elephant Range,National,Not Reported,Not Applicable,0,0,0,1756,1718.91946970348,Not Applicable,0,Designated,2002,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plan,Not Reported,1687,MM-16,MMR,MMR
Polygon,555547902,555547902,1,Shinpinkyetthauk,Shinpinkyetthauk,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,72,94.3264903922138,Not Applicable,0,Proposed,2006,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-02,MMR,MMR
Polygon,1237,1237,1,Shwe-U-Daung,Shwe-U-Daung,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,326,349.779447484371,Not Applicable,0,Designated,1918,Federal or national ministry or agency,Not Reported,Nature and Wildlife Conservation Division,Annual management plan,Not Reported,1687,"MM-04;MM-17",MMR,MMR
Polygon,1236,1236,1,Shwesettaw,Shwesettaw,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,0,0,0,553,584.652464470584,Not Applicable,0,Designated,1940,Federal or national ministry or agency,Not Reported,Forest Department,Annual management plan,Not Reported,1687,MM-03,MMR,MMR
Polygon,312909,312909,1,Tanintharyi National Park,Tanintharyi National Park,National Park,National Park,National,II,Not Applicable,0,0,0,2072,3665.02299577061,Not Applicable,0,Proposed,2002,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,Not Reported,1687,MM-05,MMR,MMR
Polygon,555547903,555547903,1,Tanintharyi Nature Reserve,Tanintharyi Nature Reserve,Nature Reserve,Nature Reserve,National,VI,Not Applicable,0,0,0,1700,1598.15127668632,Not Applicable,0,Designated,2005,Federal or national ministry or agency,Not Reported,Forest Department,4-year management plan,Not Reported,1687,MM-05,MMR,MMR
Polygon,8009,8009,1,Taung Gyi,Taung Gyi,Bird Sanctuary,Bird Sanctuary,National,IV,Not Applicable,0,0,0,16,70.7659867630256,Not Applicable,0,Designated,1930,Federal or national ministry or agency,Not Reported,Shan State Forest Department of Taunggyi township,None,Not Reported,1687,MM-17,MMR,MMR
Point,902413,902413,1,Moyingyi Wetland Wildlife Sanctuary,Moyingyi Wetland Wildlife Sanctuary,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(ii) (v) (vi),0,0,,103.59,,Not Applicable,0,Designated,2004,Not Reported,Not Reported,Not Reported,Management plan is not implemented and not available,State Verified,1856,MM-02,MMR,MMR
Point,17091,17091,1,Myaing Hay Wun Elephant Research Camp,Myaing Hay Wun Elephant Research Camp,Other Area,Other Area,National,Not Reported,Not Applicable,0,0,,0.04,,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1375,MM-06,MMR,MMR
Point,317244,317244,1,National Botanical Gardens,National Botanical Gardens,Botanical Garden,Botanical Garden,National,Not Reported,Not Applicable,0,0,,1.395,,Not Applicable,0,Designated,1915,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1375,MM-04,MMR,MMR
Point,317245,317245,1,Sein-Ye Forest Camp,Sein-Ye Forest Camp,Other Area,Other Area,National,Not Reported,Not Applicable,0,0,,0.413,,Not Applicable,0,Designated,1996,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1375,MM-04,MMR,MMR
Point,317246,317246,1,Yangon Zoological Gardens,Yangon Zoological Gardens,Other Area,Other Area,National,Not Reported,Not Applicable,0,0,,0.2802,,Not Applicable,0,Designated,1906,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1375,MM-06,MMR,MMR
